Date,Average temperature,Average dewpoint,Average windspeed,Average direction,Rainfall for year,Maximum temperature,Maximum humidity,Maximum pressure,Maximum windspeed ,Maximum heat index,Average humidity,Average barometer,Average gustspeed,Rainfall for month,Maximum rain per minute,Minimum temperature,Minimum humidity,Minimum pressure,Maximum gust speed
28/04/2015,73,30.2,2.7,2.11,0.00,33.1,55,30.022,11.5,40.9,32.4,1.4,58,3.47,52.0,88,30.290,6.9,52.0
29/04/2015,49.7,26.9,3.9,267,3.48,69.8,92,30.138,18.4,75.8,50,29.9,6.2,2.12,0.01,27.3,14,29.672,25.3
30/04/2015,46,29.8,5.9,2.16,0.01,36.3,13,29.700,26.5,53.4,28.8,3.6,305,3.52,69.6,88,29.854,18.4,73.5
15/05/2015,45.1,27.8,6.2,269,3.79,49.1,64,29.704,15.0,49.1,51,29.6,8.9,0.27,0.26,41.5,41,29.592,20.7
16/05/2015,57,29.6,6.0,0.29,0.01,29.0,27,29.440,25.3,42.1,27.0,3.9,292,3.81,54.4,82,29.764,17.3,54.4
17/05/2015,46.3,28.7,4.3,285,3.81,59.5,83,30.013,16.1,59.5,53,29.8,7.0,0.29,0.00,35.0,24,29.172,24.2
18/05/2015,84,30.1,4.3,0.47,0.01,37.8,69,29.997,12.7,40.6,35.9,2.2,101,3.99,45.4,91,30.219,10.4,45.4
19/05/2015,35.7,33.2,1.2,55,4.71,40.5,93,30.122,10.4,40.5,91,30.1,2.3,1.19,0.01,32.5,87,29.969,16.1
20/05/2015,88,30.2,4.1,1.35,0.01,30.4,70,30.074,17.3,35.5,32.4,2.2,83,4.87,45.7,93,30.234,11.5,45.7
21/05/2015,42.6,36.2,2.3,71,4.87,55.1,93,30.192,11.5,55.1,79,30.0,4.2,1.35,0.00,34.4,56,29.858,17.3
22/05/2015,85,29.8,4.5,1.53,0.01,40.3,67,29.749,17.3,43.2,39.0,2.5,85,5.05,51.3,92,29.938,11.5,51.3
23/05/2015,42.9,36.9,2.3,341,5.16,52.8,92,29.924,17.3,52.8,80,29.8,4.1,1.64,0.01,36.2,55,29.731,26.5
24/05/2015,72,29.8,4.5,1.66,0.01,28.4,35,29.690,19.6,41.7,32.4,2.6,89,5.18,53.5,93,29.914,13.8,53.5
25/05/2015,44.1,33.3,3.3,315,5.32,61.0,92,29.944,15.0,61.0,71,29.8,5.4,1.80,0.01,31.3,24,29.689,21.9
26/05/2015,66,29.9,6.0,1.83,0.01,33.8,32,29.796,26.5,47.8,35.1,3.9,286,5.35,60.6,96,29.997,21.9,60.6
27/05/2015,53.2,34.6,4.4,290,5.35,66.4,80,29.913,16.1,66.4,52,29.8,6.9,1.83,0.00,39.3,27,29.729,25.3
28/05/2015,51,29.8,8.7,1.83,0.00,41.5,27,29.741,26.5,51.8,33.3,5.6,291,5.35,64.5,75,29.919,18.4,64.5
29/05/2015,47.9,34.8,3.3,52,5.41,55.4,89,30.128,16.1,55.4,62,30.0,5.6,1.89,0.01,41.1,35,29.837,24.2
30/05/2015,66,30.0,4.5,1.89,0.00,34.9,38,29.897,19.6,51.0,39.2,2.4,102,5.41,63.2,91,30.200,16.1,63.2
31/05/2015,59.8,36.7,5.4,317,5.41,78.8,89,29.940,19.6,77.6,49,29.8,8.8,1.89,0.00,41.2,15,29.640,32.2
1/06/2015,59.4,37.3,2.5,313,6.92,77.2,80,29.852,16.1,77.3,48,29.8,4.4,0.06,0.01,42.3,20,29.621,24.2
2/06/2015,40,29.7,7.7,0.06,0.00,39.1,12,29.513,27.6,60.4,29.6,5.2,286,6.92,76.1,86,29.794,19.6,75.9
3/06/2015,55.6,40.0,2.7,92,6.96,69.0,89,29.779,11.5,77.5,57,29.7,5.0,0.10,0.01,38.5,30,29.580,17.3
4/06/2015,58,29.7,5.0,0.10,0.00,42.2,11,29.641,26.5,58.8,40.2,2.8,100,6.96,75.4,92,29.792,13.8,77.5
5/06/2015,53.8,45.0,1.9,91,7.10,63.2,89,29.959,19.6,63.2,73,29.8,3.5,0.24,0.01,40.6,53,29.719,27.6
6/06/2015,61,29.7,4.7,0.24,0.00,39.5,30,29.650,19.6,56.4,41.8,2.7,50,7.10,68.4,91,29.836,12.7,77.4
7/06/2015,55.7,38.7,3.5,347,7.10,67.6,86,29.952,16.1,67.6,56,29.8,5.9,0.24,0.00,41.1,24,29.695,20.7
8/06/2015,59,29.9,3.4,0.24,0.00,37.3,26,29.781,18.4,57.2,41.0,1.7,123,7.10,72.7,93,30.072,11.5,77.4
9/06/2015,61.1,38.8,2.1,244,7.10,79.6,89,29.938,19.6,78.6,51,29.8,3.8,0.24,0.00,40.8,13,29.607,28.8
10/06/2015,69,29.6,2.7,0.27,0.01,49.4,45,29.502,12.7,57.1,46.7,1.5,3,7.13,65.8,88,29.663,9.2,65.8
11/06/2015,53.3,47.0,2.1,66,7.39,64.7,92,29.790,11.5,64.7,80,29.7,3.7,0.53,0.01,47.4,48,29.574,16.1
12/06/2015,75,29.7,3.4,0.55,0.01,47.4,49,29.606,16.1,56.7,48.2,1.7,90,7.40,66.9,94,29.809,9.2,66.9
13/06/2015,56.6,42.0,2.8,289,7.62,78.3,94,29.803,12.7,78.3,64,29.7,4.6,0.77,0.01,41.2,21,29.554,19.6
14/06/2015,63,29.8,3.7,0.86,0.01,42.8,20,29.622,19.6,56.5,41.8,2.2,16,7.71,72.7,90,29.875,15.0,77.1
15/06/2015,53.0,47.2,2.1,85,7.78,64.2,93,30.014,11.5,64.2,81,29.9,3.9,0.93,0.01,43.6,58,29.815,18.4
16/06/2015,74,29.9,4.0,1.03,0.01,45.8,36,29.744,26.5,55.6,46.5,2.4,284,7.88,73.0,92,29.981,19.6,77.4
17/06/2015,59.8,47.4,2.6,46,7.88,76.8,93,29.978,11.5,77.9,67,29.8,4.4,1.03,0.00,42.6,26,29.708,17.3
18/06/2015,67,29.8,5.0,1.03,0.00,41.8,41,29.731,16.1,60.5,48.8,2.8,78,7.88,73.2,92,29.921,12.7,77.2
19/06/2015,67.3,37.3,3.5,277,7.88,84.7,92,29.842,15.0,81.6,45,29.7,5.7,1.03,0.00,44.6,12,29.452,20.7
20/06/2015,47,29.6,5.0,1.03,0.00,48.2,25,29.562,18.4,64.5,43.0,2.8,75,7.88,79.2,76,29.720,15.0,79.1
21/06/2015,67.4,34.7,5.1,280,7.88,86.1,85,29.786,21.9,82.7,40,29.6,8.0,1.03,0.00,44.3,10,29.467,31.1
22/06/2015,41,29.7,6.8,1.03,0.00,54.7,14,29.491,19.6,64.5,38.7,4.0,82,7.88,77.6,73,29.889,13.8,77.5
23/06/2015,65.5,44.1,3.3,330,7.88,85.5,92,29.950,17.3,82.2,55,29.8,5.2,1.03,0.00,43.3,12,29.613,26.5
24/06/2015,54,29.8,3.9,1.04,0.01,48.6,16,29.617,20.7,62.4,43.3,2.3,345,7.89,81.6,79,29.920,13.8,79.5
25/06/2015,68.7,43.1,4.9,33,7.89,78.8,80,29.818,17.3,78.8,42,29.7,7.8,1.04,0.00,50.4,22,29.594,25.3
26/06/2015,70,29.9,5.0,1.06,0.01,53.5,49,29.739,19.6,62.4,52.1,2.8,91,7.91,70.9,91,29.965,13.8,77.1
27/06/2015,62.8,44.6,2.0,127,7.91,79.4,92,30.063,12.7,78.7,57,29.9,3.7,1.06,0.00,42.6,23,29.807,19.6
28/06/2015,63,29.9,3.3,1.21,0.03,45.4,20,29.772,21.9,60.8,45.8,2.0,79,8.06,80.9,89,30.043,15.0,79.4
29/06/2015,63.4,46.5,2.2,108,8.06,76.5,90,30.027,10.4,77.8,58,29.9,4.0,1.21,0.00,46.2,33,29.789,18.4
30/06/2015,59,29.8,3.9,1.30,0.01,45.5,16,29.638,32.2,63.4,45.6,2.3,315,8.15,84.9,89,29.910,19.6,81.9
1/07/2015,62.5,51.2,2.6,38,8.32,77.2,88,29.935,21.9,78.3,69,29.8,4.2,0.17,0.12,51.4,34,29.681,33.4
2/07/2015,75,29.8,5.0,0.69,0.10,49.2,46,29.697,42.6,59.5,50.7,3.0,81,8.84,72.5,93,29.956,32.2,77.4
3/07/2015,60.0,50.8,1.6,82,8.88,72.8,94,30.025,10.4,77.1,74,29.8,3.0,0.73,0.01,45.2,45,29.706,17.3
4/07/2015,60,29.7,4.8,0.89,0.03,46.7,19,29.569,36.8,64.2,46.6,2.8,357,9.04,83.0,92,29.855,28.8,80.7
5/07/2015,61.6,50.0,3.4,318,9.42,79.3,92,29.861,13.8,78.9,71,29.7,5.1,1.27,0.02,48.3,28,29.575,20.7
6/07/2015,91,29.9,4.1,1.54,0.01,52.0,84,29.615,11.5,54.6,51.9,2.3,84,9.69,56.9,93,30.025,8.1,56.9
7/07/2015,54.0,50.3,1.5,77,10.11,59.3,93,29.995,11.5,59.3,88,29.9,2.8,1.96,0.02,50.4,72,29.790,13.8
8/07/2015,89,29.8,2.4,2.30,0.01,48.3,70,29.737,17.3,52.0,48.8,1.3,104,10.45,59.3,95,29.871,11.5,59.3
